Iteration,MeanEpisodeLength,MeanReward
752,203.45,9.85
753,182.31,8.64
754,156.36,7.48
755,174.98,8.42
756,193.5,9.24
757,169.45,8.2
758,206.5,9.92
759,167.35,8.07
760,158.09,7.42
761,204.71,10.3
762,194.12,9.27
763,165.98,7.91
764,194.67,9.55
765,188.97,8.72
766,211.75,10.2
767,203.46,10.27
768,201.07,9.81
769,183.99,8.88
770,186.06,8.86
771,183.21,8.81
772,205.03,10.16
773,182.69,8.85
774,200.22,9.79
775,212.01,10.3
776,201.35,9.89
777,190.3,9.24
778,195.38,9.77
779,195.04,9.38
780,218.4,10.93
781,190.15,8.76
782,193.43,9.33
783,176.21,8.49
784,218.04,10.67
785,195.17,9.44
786,237.08,11.82
787,181.87,8.8
788,207.28,10.34
789,204.28,9.71
790,178.46,8.62
791,224.37,11
792,188.57,8.91
793,175.85,8.68
794,183.06,9.04
795,188.07,9.02
796,204,10.46
797,201.69,9.86
798,194.32,9.65
799,219.18,10.91
800,208.89,10.67
801,196.6,9.42
802,205.68,10.56
803,198.05,9.73
804,182.19,8.56
805,221.2,11.04
806,177.12,8.64
807,183.71,8.64
808,201.18,9.94
809,190.23,9.35
810,192.57,9.67
811,200.18,9.85
812,176.25,8.49
813,199.82,9.83
814,224.82,10.9
815,193.5,9.51
816,202,10.15
817,202.75,10.11
818,198.49,9.83
819,205.76,9.94
820,191.31,9.54
821,226.59,10.8
822,248.42,12.14
823,249.32,12.52
824,195.36,9.63
825,231.77,10.95
826,220.35,10.7
827,246.82,12.18
828,197.19,9.68
829,230.48,11.39
830,224.76,11.2
831,257.13,12.76
832,231.7,11.46
833,218.5,10.69
834,238.73,11.82
835,223.09,11.27
836,243.98,11.9
837,248.13,12.6
838,272.59,13.68
839,241.65,12.17
840,231.47,11.21
841,261.2,13.07
842,254.9,12.65
843,226.6,11.03
844,222.01,11.28
845,262.85,12.96
846,248.23,12.27
847,266.74,13.55
848,273.38,13.81
849,263.42,12.84
850,258.88,12.69
851,270.94,13.6
852,258.82,12.61
853,265.55,12.81
854,288.32,13.76
855,255.41,12.43
856,242.88,11.81
857,227.05,10.76
858,241.12,11.66
859,255.39,12.71
860,275.34,13.61
861,254.74,12.92
862,255.62,12.51
863,236.65,11.9
864,299.3,14.76
865,261.19,13.23
866,255.39,12.25
867,253.12,12.94
868,268.08,13.58
869,236.02,11.6
870,248.67,12.28
871,261.39,13.11
872,252.56,12.84
873,269.1,13.49
874,288.88,14.85
875,255.64,12.44
876,258.18,12.93
877,267.97,13.29
878,288.99,14.26
879,290.02,15.07
880,284.47,13.96
881,252.86,12.55
882,277.07,13.38
883,282.5,14.34
884,272.72,13.45
885,270.57,13.39
886,277.07,13.8
887,278.71,14.1
888,248.62,12.49
889,265,13.34
890,241.95,12.24
891,238.6,12.02
892,246.66,12.42
893,276.52,14.43
894,256.79,12.4
895,258.11,12.19
896,256.82,12.95
897,260.83,12.61
898,289.81,14.71
899,248.57,12.37
900,250.1,12.67
901,262.41,12.6
902,247.22,11.88
903,249.64,12.48
904,271.22,13.24
905,270.55,13.57
906,279.27,14.14
907,267.87,13.56
908,278.12,13.64
909,270.58,13.21
910,285.57,14.02
911,274.15,13.31
912,263.54,12.6
913,285.12,14.36
914,272.51,13.25
915,326.2,16.16
916,307.42,15.55
917,273.93,13.51
918,277.58,13.55
919,292.02,14.44
920,286.58,14.53
921,295.97,15.05
922,274.83,13.53
923,287.59,14.33
924,269.4,13.51
925,287.97,14.27
926,291.27,14.53
927,306.44,15.23
928,258.14,13.01
929,297.84,14.87
930,277.86,13.62
931,286.8,14.27
932,288.6,13.84
933,290.07,14.54
934,303.15,15.3
935,281.6,13.92
936,288.61,14.47
937,325.82,16.58
938,294.07,14.8
939,256.53,12.57
940,273.19,13.73
941,298.49,14.66
942,296.67,14.94
943,287.2,14.36
944,297.07,14.75
945,289.65,14.08
946,277.34,13.45
947,310.37,15.42
948,296.61,14.77
949,312.34,15.16
950,274.07,13.73
951,273.23,13.47
952,298.6,14.57
953,307.26,14.92
954,298.09,14.66
955,309.67,15.51
956,284.39,14.12
957,295.4,15.16
958,310.58,15.56
