Iteration,MeanEpisodeLength,MeanReward
609,290.12,8.89
610,288.66,8.75
611,290.67,8.98
612,281.41,8.53
613,260.57,8.13
614,282.52,8.71
615,283.58,8.5
616,284.19,8.77
617,266.66,7.92
618,251.61,7.71
619,287.95,8.8
620,303.23,9.22
621,279.42,8.4
622,286.68,8.88
623,312.44,8.77
624,303.71,9.2
625,301.6,9.47
626,289.03,8.61
627,309.81,9.36
628,322.4,9.48
629,286.25,8.59
630,319.7,9.28
631,296,8.61
632,298.52,8.32
633,300.62,8.87
634,285.4,8.14
635,291.2,8.5
636,293.86,8.51
637,275.73,7.78
638,279.56,7.99
639,262.86,7.78
640,267.29,7.46
641,296.32,8.92
642,294.93,8.69
643,276.91,8.26
644,303.44,8.88
645,294.95,9.02
646,297.88,8.72
647,305.4,8.79
648,298.1,8.66
649,296.63,8.94
650,302.6,9.05
651,285.08,8.3
652,332.76,9.92
653,289.65,8.04
654,309.36,9.1
655,279.25,8.2
656,327.91,9.31
657,339.65,10.22
658,296.25,8.44
659,312.17,9.15
660,269.43,7.89
661,278.87,8.08
662,301.91,9.08
663,295.62,8.51
664,296.44,8.82
665,264.32,7.8
666,306.44,9.06
667,290.44,8.66
668,317.18,9.48
669,286.57,8.63
670,301.01,9.16
671,313.49,9.07
672,326.02,10.08
673,286.26,8.49
674,317.68,9.54
675,304.73,9.01
676,290.8,8.93
677,322.48,9.69
678,292.65,8.57
679,277.52,8.64
680,293.65,8.97
681,299.35,8.94
682,290.85,9.27
683,286.05,8.85
684,326.48,10.02
685,291.19,8.7
686,275.49,8.05
687,303.87,9.27
688,298.24,9.09
689,290.79,8.74
690,299.13,9.11
691,313.15,9.28
692,276.51,8.7
693,288.91,8.1
694,293.32,9.27
695,326.17,9.85
696,317.76,9.28
697,307.93,9.4
698,284.98,8.91
699,293.17,8.47
700,296.32,9.4
701,307.63,9.73
702,322.84,9.7
703,307.97,9.46
704,305.34,9.64
705,343.76,11.03
706,293.86,8.8
707,311.32,9.47
708,297.62,8.7
709,321.2,9.99
710,317.09,9.81
711,301.02,9.16
712,313.66,9.51
713,338.21,10.76
714,279.72,8.48
715,314.99,9.88
716,300.97,9.3
717,354.46,11.44
718,288.2,8.78
719,301.66,9.32
720,316.78,9.65
721,328.67,10.27
722,321.52,10.53
723,335.74,10.75
724,333.3,10.8
725,317.83,9.82
726,302.83,9.53
727,305.87,9.46
728,307.93,9.92
729,309.34,9.86
730,327.97,10.42
731,333.1,10.78
732,332.3,10.48
733,303.63,9.29
734,306.06,9.64
735,345.79,10.94
736,331.62,10.75
737,313.73,9.86
738,317.54,9.7
739,311.97,9.62
740,324.33,10.11
741,285.93,8.81
742,313.32,9.85
743,306.33,9.33
744,321.38,10.73
745,336.51,10.92
746,308.97,9.78
747,321.22,10.66
748,312.95,10.04
749,328.31,10.57
750,307.74,9.93
751,328.77,10.67
752,300.07,9.42
753,295.94,9.72
754,309.5,10.06
755,309.62,9.9
756,332.58,10.44
757,311.23,9.91
758,329.45,10.99
759,288.59,9.6
760,326.59,10.3
761,344.57,11.06
762,348.79,11.39
763,314.15,9.98
764,317.12,9.79
765,316.58,10.25
766,301.76,10.02
767,298.79,9.51
768,302.92,9.77
769,314.56,10.29
770,300.32,9.39
771,337.69,11.26
772,303.47,9.6
773,319.37,10.34
774,308.12,9.85
775,306.51,10.2
776,322.6,10.34
777,300.5,9.75
778,284.58,9.55
779,331.81,10.23
780,336.33,10.61
781,338.61,11.49
782,332.67,10.85
783,296.05,9.6
784,313.5,9.65
785,282.1,9.06
786,358.7,11.73
787,344.05,10.79
788,306.28,10.07
789,321.35,10.25
790,350.44,11
791,345.83,11.48
792,369.55,11.94
793,323.8,10.66
794,286.64,9.14
795,332.36,10.69
796,315.16,10.33
797,334.42,10.73
798,331.88,10.76
799,338.26,10.97
800,322.39,10.65
801,331.19,10.82
802,348.9,11.23
803,346.97,11.87
804,339.3,11.34
805,329.95,11.06
