time	root_x	root_y	root_z
8.140000	3.936156	-2.874588	0.844438
8.160000	3.950638	-2.876076	0.847884
8.180000	3.965447	-2.878491	0.851745
8.200000	3.981314	-2.881995	0.854949
8.220000	3.997593	-2.886088	0.856707
8.240000	4.013045	-2.890679	0.856518
8.260000	4.026487	-2.895272	0.857193
8.280000	4.038511	-2.897732	0.858946
8.300000	4.049358	-2.897213	0.861296
8.320000	4.059647	-2.894340	0.863750
8.340000	4.069947	-2.889978	0.866005
8.360000	4.080750	-2.884836	0.867865
8.380000	4.092436	-2.879420	0.869241
8.400000	4.105124	-2.873824	0.870163
8.420000	4.118735	-2.868142	0.870578
8.440000	4.133350	-2.862611	0.870233
8.460000	4.148799	-2.857108	0.868563
8.480000	4.164593	-2.851515	0.864929
8.500000	4.180115	-2.845742	0.859251
8.520000	4.194896	-2.839774	0.851938
8.540000	4.209531	-2.833329	0.844410
8.560000	4.224948	-2.825430	0.837362
8.580000	4.241467	-2.815378	0.830804
8.600000	4.259006	-2.803085	0.825165
8.620000	4.275478	-2.789586	0.822578
8.640000	4.291713	-2.774803	0.822940
8.660000	4.308297	-2.758764	0.825625
8.680000	4.325359	-2.741409	0.829960
8.700000	4.342716	-2.722770	0.835340
8.720000	4.359918	-2.703085	0.841269
8.740000	4.376556	-2.682597	0.847250
8.760000	4.392428	-2.661566	0.853189
8.780000	4.407115	-2.640733	0.858266
8.800000	4.420292	-2.621291	0.861059
8.820000	4.432433	-2.603859	0.860872
8.840000	4.442669	-2.588408	0.860504
8.860000	4.451999	-2.574694	0.861076
8.880000	4.461136	-2.561990	0.862918
8.900000	4.470747	-2.549598	0.865834
8.920000	4.481043	-2.537627	0.869304
8.940000	4.491874	-2.526371	0.872743
8.960000	4.503068	-2.515836	0.875866
8.980000	4.514488	-2.505807	0.878655
9.000000	4.525828	-2.496318	0.881066
9.020000	4.536779	-2.487250	0.883023
9.040000	4.547370	-2.478233	0.884506
9.060000	4.557820	-2.468684	0.885453
9.080000	4.568094	-2.458301	0.885591
9.100000	4.578079	-2.447203	0.884736
9.120000	4.587881	-2.435462	0.882850
9.140000	4.597565	-2.423165	0.879990
9.160000	4.607243	-2.410352	0.876442
9.180000	4.617302	-2.396683	0.872664
9.200000	4.628274	-2.381575	0.868734
9.220000	4.640449	-2.364455	0.864403
9.240000	4.653808	-2.344899	0.859468
9.260000	4.667764	-2.323235	0.853768
9.280000	4.681369	-2.300397	0.847378
9.300000	4.694141	-2.278373	0.841491
9.320000	4.706300	-2.258690	0.838617
9.340000	4.717980	-2.238641	0.838256
9.360000	4.729288	-2.218242	0.840240
9.380000	4.740813	-2.197887	0.844011
9.400000	4.753245	-2.177630	0.848749
9.420000	4.766848	-2.157972	0.852949
9.440000	4.780594	-2.139261	0.855556
9.460000	4.793816	-2.122615	0.855905
9.480000	4.806648	-2.109738	0.857363
9.500000	4.817931	-2.098201	0.859768
9.520000	4.827256	-2.086305	0.863020
9.540000	4.834800	-2.073090	0.866854
9.560000	4.840883	-2.058327	0.870864
9.580000	4.846076	-2.042359	0.874551
9.600000	4.850881	-2.025643	0.877508
9.620000	4.855511	-2.008373	0.879792
9.640000	4.859978	-1.990780	0.881572
9.660000	4.864352	-1.973164	0.882762
9.680000	4.868857	-1.955545	0.883164
9.700000	4.873613	-1.937998	0.882546
9.720000	4.878627	-1.920488	0.880806
9.740000	4.883937	-1.902953	0.877901
9.760000	4.889451	-1.885249	0.874187
9.780000	4.894897	-1.867108	0.870273
9.800000	4.899871	-1.848278	0.866720
9.820000	4.903877	-1.828744	0.863534
9.840000	4.906807	-1.808744	0.860240
9.860000	4.909204	-1.788438	0.856690
9.880000	4.911565	-1.767504	0.853402
9.900000	4.913772	-1.745344	0.850837
9.920000	4.915477	-1.721718	0.849102
9.940000	4.916595	-1.696772	0.848108
9.960000	4.917359	-1.671299	0.848008
9.980000	4.917528	-1.647038	0.850298
10.000000	4.917436	-1.623228	0.855167
10.020000	4.917464	-1.599139	0.860920
10.040000	4.917646	-1.575425	0.865901
10.060000	4.916989	-1.553732	0.869066
10.080000	4.915129	-1.534308	0.871552
10.100000	4.913064	-1.515582	0.874038
10.120000	4.911493	-1.496900	0.876713
10.140000	4.910953	-1.478730	0.879282
10.160000	4.911593	-1.461713	0.881431
10.180000	4.913365	-1.445806	0.883116
10.200000	4.916185	-1.430204	0.884699
10.220000	4.919696	-1.414187	0.886424
10.240000	4.923275	-1.397659	0.887982
10.260000	4.926275	-1.380743	0.888834
10.280000	4.928175	-1.363505	0.888718
10.300000	4.928922	-1.345611	0.887756
10.320000	4.928854	-1.326860	0.886084
10.340000	4.928343	-1.307394	0.883782
10.360000	4.927515	-1.287355	0.880903
10.380000	4.926314	-1.266611	0.877323
