time	left_hand_x	left_hand_y	left_hand_z	right_hand_x	right_hand_y	right_hand_z
3.060000	0.172049	0.174305	0.619295	0.156825	-0.321633	0.644813
3.080000	0.169118	0.175087	0.620727	0.154226	-0.320850	0.646382
3.100000	0.166387	0.175838	0.622240	0.151749	-0.320127	0.648247
3.120000	0.163816	0.176538	0.623932	0.149530	-0.319520	0.650311
3.140000	0.161337	0.177209	0.625918	0.147642	-0.319009	0.652539
3.160000	0.158948	0.177882	0.628212	0.145985	-0.318559	0.654932
3.180000	0.156717	0.178554	0.630783	0.144442	-0.318151	0.657549
3.200000	0.154699	0.179200	0.633736	0.142987	-0.317769	0.660544
3.220000	0.152924	0.179805	0.637223	0.141658	-0.317420	0.664050
3.240000	0.151364	0.180371	0.641300	0.140540	-0.317145	0.668027
3.260000	0.149934	0.180919	0.645985	0.139661	-0.316948	0.672372
3.280000	0.148573	0.181456	0.651306	0.138915	-0.316782	0.677095
3.300000	0.147272	0.181952	0.657292	0.138180	-0.316608	0.682347
3.320000	0.146057	0.182361	0.664016	0.137437	-0.316421	0.688300
3.340000	0.144993	0.182675	0.671568	0.136724	-0.316250	0.695026
3.360000	0.144111	0.182904	0.679995	0.136061	-0.316106	0.702542
3.380000	0.143381	0.183063	0.689302	0.135448	-0.315980	0.710890
3.400000	0.142733	0.183163	0.699449	0.134900	-0.315879	0.720063
3.420000	0.142034	0.183238	0.710405	0.134478	-0.315799	0.729926
3.440000	0.141238	0.183354	0.722001	0.134199	-0.315735	0.740297
3.460000	0.140453	0.183525	0.733798	0.133975	-0.315714	0.750922
3.480000	0.139689	0.183661	0.745529	0.133726	-0.315742	0.761596
3.500000	0.138930	0.183711	0.757403	0.133421	-0.315797	0.772367
3.520000	0.138272	0.183719	0.769612	0.133070	-0.315908	0.783353
3.540000	0.137764	0.183732	0.781911	0.132735	-0.316153	0.794501
3.560000	0.137364	0.183711	0.793979	0.132391	-0.316561	0.805779
3.580000	0.136986	0.183560	0.805872	0.131886	-0.317091	0.817331
3.600000	0.136519	0.183246	0.817754	0.131199	-0.317721	0.829163
3.620000	0.135902	0.182777	0.829661	0.130514	-0.318462	0.841055
3.640000	0.135151	0.182148	0.841604	0.129951	-0.319287	0.852843
3.660000	0.134346	0.181384	0.853539	0.129459	-0.320161	0.864462
3.680000	0.133590	0.180530	0.865342	0.128977	-0.321089	0.875852
3.700000	0.132948	0.179615	0.876949	0.128486	-0.322056	0.886963
