# time tau_applied_0 tau_applied_1 tau_applied_2 tau_applied_3 tau_applied_4 tau_applied_5 tau_applied_6 tau_applied_7 tau_applied_8 tau_applied_9 tau_applied_10 tau_applied_11 tau_applied_12 tau_applied_13 tau_applied_14 tau_applied_15 tau_applied_16 tau_applied_17 tau_applied_18 tau_applied_19 tau_applied_20 tau_applied_21 tau_applied_22 tau_applied_23
1.220000 -16.421850 4.613298 5.562651 -2.314811 0.158894 1.237108 -22.790085 -7.992456 0.004355 4.500127 1.756824 0.209645 1.215317 -16.149183 -1.404160 -7.642696 -0.724499 -0.162879 0.005429 5.227677 -11.981801 1.260839 -0.134335 0.373015
1.240000 -14.891379 -10.050978 1.421021 -8.669038 1.125356 0.120668 -16.242208 -6.585227 -9.638360 -15.114498 -0.076584 -0.676841 -1.152968 -13.523438 -3.364659 -8.104022 -0.308319 -4.304169 0.365564 -3.386693 -10.434266 1.228765 -2.339360 0.279984
1.260000 -28.358038 -11.314560 -3.864964 -8.487531 -0.220371 0.681728 -32.451500 -6.403911 -3.142787 -10.821081 0.158143 -0.120198 8.849785 -12.944820 -3.930534 -5.176877 1.071899 -1.176076 -0.419007 -4.996701 -3.021355 -4.970866 -0.480205 -0.310115
1.280000 -40.430290 -11.573287 3.165998 1.612891 -0.024132 1.288297 -33.949001 -8.419742 1.496143 -1.682526 -1.526544 -0.967127 3.047507 -12.836795 -4.240102 -0.107486 1.437941 -0.941939 0.924427 -8.838208 2.845754 -4.446741 -1.779935 -0.294623
1.300000 21.897318 20.496063 -2.691881 -7.877865 -2.347383 0.464661 -21.123730 23.920893 0.281708 9.993927 0.911381 -0.257049 -12.201178 23.664904 3.305782 0.796733 0.705676 4.294717 -0.556466 -2.948776 2.102870 0.653505 4.285800 0.082807
1.320000 5.255308 9.171179 -6.609806 7.584533 -3.330117 -0.053292 -23.380030 8.646352 -9.330680 15.358442 2.078593 -1.059277 -7.375664 20.866770 -1.175567 5.910488 -0.935145 -0.862465 0.351621 0.281315 1.603540 2.089151 -3.587337 0.748294
1.340000 12.179339 2.581998 -5.630000 0.267336 0.420021 -0.526379 -10.079973 -4.165597 -8.554650 4.237783 1.445296 -0.225026 -7.233911 8.669165 -2.757881 6.744052 0.314682 0.442158 0.490629 1.123060 2.426232 1.691016 -0.805839 -0.488164
1.360000 18.937860 -7.000617 -15.659804 7.302155 -4.120462 2.546178 -7.822105 -2.237863 0.853872 -1.521027 1.028350 -0.593329 0.208312 2.594713 -3.525296 6.033734 0.620765 0.691795 0.204976 1.150263 0.094187 1.851669 -2.016863 0.340027
1.380000 22.668238 1.857811 -19.422209 15.698973 -4.757243 2.837943 -12.205149 -1.150380 4.008008 -6.955530 0.266522 -0.915924 0.076813 3.896719 -2.573815 3.734694 0.278189 0.987465 0.098218 0.533157 0.781290 0.655735 -1.550064 -0.152630
1.400000 27.683079 19.239508 -10.567083 18.933805 -2.856658 2.729859 -8.211151 -5.332862 9.813556 -0.683741 1.753993 -2.239983 0.094809 -2.051971 -0.269099 6.577891 0.901921 0.985248 -0.005742 0.562022 1.833540 0.565685 -5.565912 0.333790
1.420000 17.153244 24.030851 2.203691 8.169568 -0.951261 1.559703 -0.798822 -4.579067 8.630590 -2.087656 2.320434 -0.500166 -13.091179 -14.680149 -1.019223 5.317238 0.816183 1.994052 0.398390 -0.051656 1.505965 0.715581 -2.480230 -0.292918
1.440000 -10.967909 28.481903 -1.149128 5.660493 -2.785178 0.590825 0.377176 -6.604188 10.152761 16.875761 4.245794 -1.166330 -21.707737 -25.574379 -5.541774 4.720822 0.708447 3.256239 -1.147515 -0.206638 0.721018 -0.561349 -1.786470 0.429299
1.460000 -18.818254 29.641525 -5.531211 -7.837889 1.954612 -0.041695 3.581141 9.174512 11.111318 18.957119 4.213407 -2.417556 -23.537731 -22.544689 -1.842736 5.297490 1.177382 0.995408 0.630324 0.272803 -0.962605 0.141209 -2.234507 0.150368
1.480000 -17.312956 24.340843 -8.372803 -9.629008 1.191362 -0.165483 1.683591 2.518494 18.098549 15.699918 4.936550 -2.145459 -20.215725 -23.010517 -1.293000 5.654381 0.196734 2.450825 -0.509600 1.914584 -2.192148 1.415103 -0.324600 -0.466017
1.500000 -12.810645 17.162886 -8.324362 -18.501574 0.469800 -0.327622 2.101700 -0.099815 20.446920 15.099286 4.663960 -3.468210 -15.055851 -20.289001 0.873521 6.098237 1.249340 1.055682 -0.119755 3.621444 -3.390688 2.577130 -1.262688 -0.156711
1.520000 -16.402103 17.819014 -2.980734 -19.584585 -0.627462 0.515206 -3.663066 3.850500 20.200096 19.559004 4.644507 -3.610810 -15.583992 -10.174778 1.706476 2.993567 -0.099778 2.130868 0.065937 4.520098 -4.097664 1.306601 -0.639221 -0.233957
1.540000 -22.501480 14.225416 -1.853122 -16.414848 -1.557941 0.057437 -5.376597 0.693903 19.194124 18.454922 5.448318 -3.310250 -12.428818 -6.170658 1.246614 1.690458 -1.079681 1.715197 0.298447 1.569864 -3.396601 0.543066 -1.095684 -0.085859
1.560000 -23.078444 13.615198 -2.502624 -12.425283 -1.854283 0.009302 0.372635 1.621889 15.007668 21.308527 4.767904 -3.259138 -14.750201 0.713034 1.277643 0.560968 -0.496817 0.507292 0.107901 1.202645 -1.653819 0.189709 -2.257941 -0.318840
1.580000 -21.201427 14.685190 -2.084038 -10.426060 -1.543250 -0.467458 9.112678 3.481427 12.874912 20.438139 3.730159 -2.091948 -13.437144 2.324853 -1.253954 1.331928 -1.087358 0.508744 -0.015784 -0.898243 -0.225930 0.143897 -3.917574 0.146144
1.600000 -14.773556 11.510922 -4.055956 -8.391391 -1.533631 -0.482979 20.221947 7.959597 12.947792 19.354053 4.325833 -1.300948 -12.318382 0.702889 -2.384888 3.872067 -0.070221 0.903506 0.138144 -0.597094 1.550652 -0.460756 -3.998481 0.244940
1.620000 -20.901724 5.370986 -2.305621 -7.675976 -1.021465 0.059528 12.957032 12.496651 13.805759 16.854731 4.633205 -1.296556 -21.848051 -3.056341 -2.123105 5.671962 1.505594 1.158517 -0.518008 6.248586 1.772505 1.596717 -2.588841 0.419338
1.640000 -21.828270 0.131104 1.261394 -7.262694 -1.993430 0.083959 15.174819 8.224184 18.985298 14.461141 2.245215 -2.354881 -32.223488 -3.763058 -1.655662 4.205042 1.116162 0.922076 -0.041439 9.444312 -1.154873 2.964588 0.668593 0.003083
1.660000 -23.428268 -6.023772 5.337256 -10.118527 -1.434404 -0.001397 14.640270 8.315014 24.420891 15.710252 2.119380 -1.363415 -31.536411 1.463735 -1.178907 3.463864 0.864214 -0.287882 -0.063196 5.523391 -3.085908 2.048210 2.046442 -0.267653
1.680000 -26.357695 -5.601274 2.992350 -6.089001 -0.550716 0.463703 11.256648 8.972931 24.300518 20.465294 3.049137 -1.115211 -25.820902 11.456732 -0.949170 3.123542 0.652621 -1.158998 0.247488 -0.638705 -3.762613 -0.945936 0.021864 -0.174508
1.700000 -21.260458 -1.196241 0.617130 -6.847901 -0.495407 0.623945 13.633680 10.819641 16.186504 23.141689 2.473761 -1.124493 -22.619087 17.241524 -1.528445 2.949552 0.496052 -0.707460 -0.292937 -5.955813 -1.680269 -2.874069 -1.119336 0.320342
1.720000 -19.169514 1.173141 0.299766 -14.872192 0.381223 0.019263 10.671229 8.413086 8.571884 24.437344 4.438228 -1.495969 -25.095345 12.758079 -3.891422 4.536776 0.706920 1.437822 -0.545659 -5.045957 -0.388307 -2.659273 -1.972985 0.412614
1.740000 -15.291380 -2.302122 0.994768 -15.341458 -1.047981 -0.152823 14.350168 5.631768 7.194144 25.315245 4.891112 -0.529680 -22.558800 11.288776 -5.015867 5.605704 0.562420 2.252703 -0.123297 -3.948040 -1.236030 -1.111336 -1.865286 0.012132
1.760000 -14.930714 -9.210650 1.574547 -11.465638 -1.740588 0.091168 15.983486 9.618067 15.339911 23.853565 2.238035 0.926720 -6.695061 14.955952 -4.882022 5.792326 1.326150 1.470436 0.423537 -5.409772 -1.814569 -1.884369 -1.857442 -0.143014
1.780000 -20.698441 -18.702814 2.079569 -3.823611 -1.507238 0.222323 22.709961 15.992857 26.942373 26.163042 1.684885 2.105900 3.575139 16.656725 -4.395150 5.312724 1.253541 0.765847 -0.116410 -4.775064 -0.826407 -2.379899 -1.369501 -0.289843
1.800000 -25.700903 -20.561367 8.040194 -1.241114 -1.020337 0.145893 30.363884 19.926750 33.922417 27.998833 2.539443 1.552511 1.989656 22.373283 -2.765993 4.683378 1.509923 0.822891 -0.155417 -3.901186 0.523893 -1.255029 1.335835 0.121943
1.820000 -27.744795 -16.484543 15.583838 -5.446273 -0.623884 0.138194 30.233440 18.116184 33.876392 29.502863 3.722574 -1.121436 -3.918222 27.042963 -2.860286 5.042912 1.800299 0.231560 0.024885 -1.440794 2.069440 -0.064382 2.263292 0.138288
1.840000 -25.464941 -13.291710 13.057697 -8.980554 -0.678873 -0.171750 29.276567 4.602967 27.659576 34.064537 5.961580 -3.119463 1.063156 34.518475 -2.352830 4.057200 1.280603 2.098014 0.468632 -5.621353 -3.841690 -0.665849 -2.991150 0.300432
1.860000 -16.391336 -10.149893 9.291483 -12.267816 -0.307354 -0.626600 18.927069 -11.499517 16.936434 24.359013 8.656614 -4.270840 8.932602 38.116276 -2.946527 4.338195 0.340110 2.648246 0.186579 -7.551258 -4.997978 -1.535458 -3.202479 0.186457
1.880000 -10.873704 -9.565765 4.107748 -11.018298 -0.663188 -1.312547 -0.421632 -15.901047 -1.285232 11.992098 5.663596 -2.485444 -1.467459 26.406075 -3.442147 5.406312 0.739739 2.809947 -0.335443 -7.996445 -2.036081 -2.012918 -3.056088 0.638576
1.900000 -14.175166 -3.847807 -1.504095 -9.872923 -2.019587 -1.050935 -5.209516 0.471388 -22.185678 12.275003 -2.033449 0.448602 -31.500004 6.339662 -2.189992 7.305597 0.946674 0.464527 -0.388508 -3.314935 4.306294 -2.062234 -3.018712 0.278387
1.920000 -24.630478 -1.212665 -7.282847 -8.764689 -2.279135 -0.680550 -4.370518 10.290232 -23.868567 10.889024 0.402482 0.825783 -40.527317 -10.819862 -3.888073 7.696381 0.569428 0.968809 0.232213 2.891791 4.753016 -1.417537 -2.575802 0.364587
1.940000 -23.573559 -1.720991 -9.361853 -10.261916 -1.597849 -0.302327 7.375978 19.526403 -13.960474 4.522068 -0.075714 0.467239 -42.262417 -18.598083 -3.416587 6.298207 1.055278 2.174372 -0.063690 4.581965 0.896803 0.900965 -2.492435 0.060894
1.960000 -19.303968 -3.994819 -8.769992 -13.077399 -1.286402 0.214536 5.842117 31.273149 -1.085684 -4.128049 -0.593601 -0.061702 -35.631966 -18.773888 -2.105716 4.465248 0.983699 1.099782 0.493136 3.702342 -1.296681 -0.262327 -2.022855 -0.227273
1.980000 -11.673825 -4.575613 -9.857315 -13.542354 -0.147644 0.514541 1.838466 26.321312 7.094081 -9.192140 -0.048735 -0.530892 -19.959652 -7.826892 -1.905352 1.128321 0.907828 1.511943 0.526827 2.029382 -5.363294 -1.697752 -0.982535 0.452911
2.000000 -6.134269 -6.818978 -10.605803 -13.362112 -0.576091 0.800737 -6.633375 16.303581 8.088428 -10.489401 -1.111809 -0.101447 -4.279675 -1.933546 -3.149542 0.438966 0.931026 -0.482921 0.195056 2.828204 -7.442037 -1.412205 -0.315323 0.607661
2.020000 -3.737326 -5.668350 -5.379728 -18.717304 -1.361270 0.640821 -11.902282 3.029273 5.243393 -11.660781 -1.303865 -0.176469 8.155688 7.437825 -4.909770 -1.411732 1.227848 -0.128979 0.603319 5.507885 -8.460453 0.376254 -0.061216 0.036486
2.040000 1.761541 1.587044 1.408862 -22.992731 -2.832209 -0.488943 -6.444737 -7.232194 2.868659 -9.244506 -1.131447 -1.089408 14.768763 15.861631 -5.390100 -1.900970 0.406686 0.326682 0.410702 -1.794806 -4.768968 2.647877 0.585504 -1.069287
2.060000 -7.055463 5.158663 2.217990 -21.483854 -3.483322 -0.656643 -10.177282 -8.753084 2.145764 -8.524384 -0.519072 -1.007267 21.780033 13.777325 -5.112581 -2.841386 0.623978 -1.004418 0.245511 -9.629644 3.025986 -2.342867 -1.289620 0.308263
2.080000 -10.565793 9.085846 4.536049 -22.268686 -4.254275 0.086423 -1.860133 -0.242065 10.761871 -12.923210 -0.719121 -1.876448 10.174227 5.480068 -3.328196 -3.409860 0.943059 -0.165754 -0.770032 -6.843487 7.077177 -0.879499 -1.438565 -0.514166
