# time m_tauc_0 m_tauc_1 m_tauc_2 m_tauc_3 m_tauc_4 m_tauc_5 m_tauc_6 m_tauc_7 m_tauc_8 m_tauc_9 m_tauc_10 m_tauc_11 m_tauc_12 m_tauc_13 m_tauc_14 m_tauc_15 m_tauc_16 m_tauc_17 m_tauc_18 m_tauc_19 m_tauc_20 m_tauc_21 m_tauc_22 m_tauc_23
1.540000 -22.501480 8.039269 -6.186147 9.332292 -7.082556 0.057437 -5.376597 -9.944014 -9.250111 -13.161264 5.293657 -3.310250 -3.129080 9.299738 1.246614 1.385070 -0.305389 0.708375 -1.006822 1.569864 -1.969833 1.426768 -0.504913 0.590772
1.560000 -23.078444 8.058911 -5.556287 7.551474 -4.873809 0.009302 0.372635 -8.314778 -6.692889 -14.096793 7.211734 -3.259138 -7.731617 7.018584 1.277643 0.528892 -0.032075 0.199696 -0.307596 1.202645 -0.921764 0.732055 -0.969550 1.288390
1.580000 -21.201427 8.384614 -6.300576 6.327290 -4.098770 -0.467458 9.112678 -8.178169 -4.696743 -12.912325 7.525814 -2.091948 -7.880999 5.556146 -1.253954 1.209643 -0.122285 0.262264 -0.246480 -0.898243 -0.184914 0.041017 -2.031859 1.885715
1.600000 -14.773556 7.783439 -3.727483 5.303010 -3.088380 -0.482979 20.221947 -10.453694 -2.494097 -12.800372 6.553681 -1.300948 -6.510636 5.807746 -2.384888 1.971144 -1.900923 0.382681 -0.520825 -0.597094 1.005704 -0.544948 -2.121710 1.876771
1.620000 -20.901724 3.838304 -1.532683 4.575508 -3.100468 0.059528 12.957032 -13.151205 -0.654555 -11.772640 5.082091 -1.296556 -9.395855 12.452196 -2.123105 2.083184 -3.588778 0.838263 -0.320255 6.248586 0.087894 -1.684611 -1.504090 1.084752
1.640000 -21.828270 -0.565145 -0.696249 5.070647 -2.192047 0.083959 15.174819 -13.604741 -5.380557 -8.851665 5.609476 -2.354881 -14.230215 17.993273 -1.655662 1.544440 -2.660602 0.481758 -0.440318 9.444312 -2.059730 -0.904858 0.332755 -0.335838
1.660000 -23.428268 -5.680514 0.343258 6.094934 -4.023593 -0.001397 14.640270 -16.367952 -8.052938 -9.385364 6.324888 -1.363415 -16.500072 15.036338 -1.178907 1.299825 -2.164039 -0.112343 0.175539 5.523391 -2.567059 0.518849 1.157047 -0.889395
1.680000 -26.357695 -4.296812 1.304462 3.442129 -2.646872 0.463703 11.256648 -16.636724 -7.663793 -12.434190 8.031104 -1.115211 -18.638817 7.182085 -0.949170 1.235460 -1.888081 -0.703243 0.455755 -0.638705 -1.408338 2.354275 0.098186 0.076322
1.700000 -21.260458 -0.906685 0.289555 3.781645 -3.066256 0.623945 13.633680 -13.503073 -2.683431 -13.356954 9.784736 -1.124493 -19.930305 2.688781 -1.528445 1.226750 -1.722802 -0.207261 0.500198 -5.955813 0.596900 2.277169 -0.719839 0.399497
1.720000 -19.169514 0.436687 -0.736454 7.160845 -7.711348 0.019263 10.671229 -8.492485 -0.079399 -15.423168 9.014175 -1.495969 -18.926712 6.168633 -3.891422 1.914928 -2.621848 0.991740 -0.446081 -5.045957 1.135483 1.523790 -1.192799 0.780186
1.740000 -15.291380 -1.648445 0.653677 8.427394 -6.914064 -0.152823 14.350168 -6.412956 -0.781188 -16.189112 9.126133 -0.529680 -16.923788 5.635012 -5.015867 2.521642 -3.084062 1.188000 -1.064703 -3.948040 -0.062347 1.173683 -0.938709 0.926577
1.760000 -14.930714 -5.392599 3.818052 6.989561 -4.476077 0.091168 15.983486 -12.478989 -2.860922 -13.542692 10.310873 0.926720 -10.825506 -4.130445 -4.882022 2.233088 -3.559238 0.523449 -0.946987 -5.409772 0.034900 1.849469 -0.857214 1.000228
1.780000 -20.698441 -10.391191 8.311623 3.000064 -0.823547 0.222323 22.709961 -21.467615 -5.474759 -14.298045 11.864997 2.105900 -6.540793 -10.115932 -4.395150 2.029592 -3.283132 0.441128 -0.324719 -4.775064 0.776746 1.603153 -0.539829 0.829672
1.800000 -25.700903 -14.300780 6.260587 1.357262 0.116148 0.145893 30.363884 -26.924583 -6.997833 -15.832950 12.165883 1.552511 -10.191813 -12.181470 -2.765993 1.586728 -3.096651 0.489154 -0.333737 -3.901186 0.889461 0.365568 0.606946 -0.728889
1.820000 -27.744795 -16.034191 0.450353 3.173594 -2.272679 0.138194 30.233440 -25.996288 -7.880104 -17.439211 12.063652 -1.121436 -15.480593 -11.562370 -2.860286 1.621306 -3.421606 0.103337 -0.128222 -1.440794 1.066911 -1.002529 1.062502 -1.200790
1.840000 -25.464941 -13.174704 0.117006 4.980438 -4.000116 -0.171750 29.276567 -16.131271 -11.528304 -21.336658 12.727878 -3.119463 -16.727659 -17.790815 -2.352830 1.388299 -2.668902 0.814691 -1.283323 -5.621353 -1.587920 2.253769 -1.645791 1.345359
1.860000 -16.391336 -9.720688 0.429205 6.355824 -5.911991 -0.626600 18.927069 -2.718458 -14.217976 -18.429770 5.929243 -4.270840 -14.591837 -23.524439 -2.946527 1.999042 -2.339153 1.230834 -1.417412 -7.551258 -1.731260 3.266718 -1.694468 1.508011
1.880000 -10.873704 -6.836757 2.729009 5.987985 -5.030313 -1.312547 -0.421632 8.593140 -7.307908 -10.085288 1.906810 -2.485444 -13.936767 -12.469308 -3.442147 2.333287 -3.073026 1.572695 -1.237252 -7.996445 -0.011582 2.024500 -1.847332 1.208756
1.900000 -14.175166 -1.171856 2.675951 6.394647 -3.478276 -1.050935 -5.209516 10.857145 11.328533 -4.669307 7.605696 0.448602 -18.919832 12.580171 -2.189992 3.179461 -4.126136 0.426518 -0.038009 -3.314935 3.184264 -1.122030 -1.648549 1.370163
1.920000 -24.630478 3.035091 4.247756 6.027930 -2.736760 -0.680550 -4.370518 6.789168 17.079399 -5.735113 5.153911 0.825783 -14.853727 25.673590 -3.888073 3.563476 -4.132904 0.368298 -0.600511 2.891791 3.085276 -1.667739 -1.470194 1.105607
